label,tp,type,hypermut
CAP257_3160_054WPI_ENV_C2C3_NGS_042_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_043_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_044_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_045_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_046_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_047_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_048_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_049_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_050_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_051_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_052_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_053_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_054_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_055_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_056_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_057_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_058_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_059_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_060_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_062_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_063_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_064_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_065_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_066_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_067_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_068_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_070_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_071_0_003_1,054WPI,NGS,N
